#{"t_start": 1772769487.4292696, "env_id": "None"}
r,l,t
79.374829,100,8.445346
79.325988,100,16.83127
80.199712,100,25.299619
80.100032,100,33.73824
80.083215,100,42.175812
80.334756,100,50.643756
80.203376,100,59.234324
79.218328,100,67.723298
80.213325,100,76.204869
80.378182,100,84.704941
80.527698,100,96.590772
80.711379,100,105.049286
80.35614,100,113.490224
80.287728,100,122.083663
81.041574,100,130.559458
80.212865,100,139.036594
80.495375,100,147.514993
78.966245,100,155.997315
79.300582,100,164.468955
79.688781,100,172.973717
79.623451,100,185.000132
79.826298,100,193.491862
81.50564,100,201.965192
79.391462,100,210.455776
81.738851,100,218.915983
80.149193,100,227.414171
78.52376,100,235.875226
79.850557,100,244.459522
80.269561,100,252.961617
80.506841,100,261.466038
80.041512,100,273.386139
80.868056,100,281.871214
79.742997,100,290.343302
80.446808,100,298.85068
79.38034,100,307.437587
81.048379,100,315.909552
79.731843,100,324.388001
81.336155,100,332.86074
78.721032,100,341.330069
79.484774,100,349.830877
80.780278,100,361.750394
81.449545,100,370.323787
80.51606,100,378.819787
80.491374,100,387.326249
80.539082,100,395.825024
79.753539,100,404.350679
80.237628,100,412.840617
80.571657,100,421.341187
80.943972,100,429.82507
80.22776,100,438.418781
79.880005,100,446.915365
79.296608,100,458.856067
80.342316,100,467.320195
77.129234,100,475.797475
79.569659,100,484.253124
79.726194,100,492.734134
79.734024,100,501.296872
79.640679,100,509.773867
79.875139,100,518.241006
80.213915,100,526.700712
80.544979,100,535.238307
78.532829,100,547.2264
80.311272,100,555.781625
80.413895,100,564.266732
79.557057,100,572.808093
80.637087,100,581.286826
80.127398,100,589.762606
80.146458,100,598.250718
80.049654,100,606.723075
81.377999,100,615.238686
80.602246,100,623.806485
80.888219,100,635.733085
79.520122,100,644.217218
80.876676,100,652.698529
81.359885,100,661.177551
80.471551,100,669.655141
80.462279,100,678.154217
79.799273,100,686.726128
82.28829,100,695.192991
80.819811,100,703.684915
80.525258,100,712.187419
79.528741,100,724.112746
80.066137,100,732.623679
79.761477,100,741.111277
78.182172,100,749.714485
81.105856,100,758.225495
79.142198,100,766.729436
80.456633,100,775.243402
80.789925,100,783.722778
80.587372,100,792.208803
80.624625,100,800.722799
80.699007,100,809.305528
80.081375,100,821.271556
81.876168,100,829.775628
80.227566,100,838.261328
79.674399,100,846.728896
78.845528,100,855.262032
80.415745,100,863.766138
80.375516,100,872.342441
80.539295,100,880.819665
79.21464,100,889.341298
78.87117,100,897.857773
79.03552,100,909.776503
80.326912,100,918.245834
79.867959,100,926.724219
79.091575,100,935.284575
79.603798,100,943.782921
79.387356,100,952.311327
81.909908,100,960.797305
79.316521,100,969.343966
79.064275,100,977.813776
78.642589,100,986.290947
81.67221,100,998.343456
79.886067,100,1006.806537
81.192946,100,1015.309889
81.373662,100,1023.809159
79.773063,100,1032.301416
80.375863,100,1040.755222
78.6283,100,1049.258872
81.000036,100,1057.780553
80.502007,100,1066.375129
79.960696,100,1074.860552
79.701205,100,1086.730622
81.137321,100,1095.225153
80.26301,100,1103.723996
80.728935,100,1112.200985
79.949688,100,1120.790808
79.951242,100,1129.258588
81.81119,100,1137.735442
80.291872,100,1146.237445
80.312338,100,1154.731806
80.338326,100,1163.217756
81.187087,100,1171.733787
81.070062,100,1183.762532
79.182455,100,1192.24495
80.29357,100,1200.772597
80.145379,100,1209.233537
80.523588,100,1217.768148
78.334407,100,1226.302258
79.217719,100,1234.791918
81.519702,100,1243.297462
79.167821,100,1251.884297
80.001498,100,1260.397694
80.161941,100,1272.404392
81.18283,100,1280.894536
78.729362,100,1289.369132
80.1452,100,1297.87933
80.450495,100,1306.37208
79.33704,100,1314.946502
80.600764,100,1323.468952
80.292642,100,1331.995413
79.927256,100,1340.473006
79.140362,100,1348.936164
82.046451,100,1360.887816
80.960393,100,1369.382079
81.353313,100,1377.986745
80.377675,100,1386.50769
78.799469,100,1395.023753
80.78015,100,1403.518094
81.24324,100,1412.022158
79.295704,100,1420.523604
79.764747,100,1429.029901
79.191723,100,1437.65507
80.590358,100,1449.673281
79.826391,100,1458.21393
81.192921,100,1466.748087
81.657821,100,1475.269372
79.628026,100,1483.775142
80.421071,100,1492.278186
80.483862,100,1500.884761
80.616382,100,1509.353163
80.296683,100,1517.857046
78.625265,100,1526.362675
81.21711,100,1534.828852
81.420448,100,1546.788152
80.210495,100,1555.313918
81.06065,100,1563.942856
79.09302,100,1572.441573
80.869755,100,1580.915262
78.470582,100,1589.418441
80.474579,100,1597.939673
80.68808,100,1606.454624
78.452388,100,1614.969374
80.804122,100,1623.574279
79.986941,100,1635.552641
79.271961,100,1644.065322
80.440131,100,1652.551003
79.801325,100,1661.068486
80.74196,100,1669.574368
81.27694,100,1678.064333
78.118004,100,1686.661518
80.140156,100,1695.174514
80.012157,100,1703.671223
79.099404,100,1712.154205
80.020282,100,1724.109881
81.775856,100,1732.618934
79.557814,100,1741.161916
81.134049,100,1749.768966
78.895233,100,1758.300802
81.966741,100,1766.809952
79.010393,100,1775.30564
78.410776,100,1783.85585
79.586436,100,1792.359416
80.465596,100,1800.848663
79.25111,100,1812.936738
81.527274,100,1821.430479
79.581397,100,1829.949965
80.891585,100,1838.474414
79.96522,100,1846.977497
78.991701,100,1855.501382
81.606259,100,1863.984756
80.84268,100,1872.524966
80.064172,100,1881.132808
80.583693,100,1889.657839
79.746882,100,1898.132453
79.517543,100,1910.117634
80.63145,100,1918.619239
80.491505,100,1927.12773
81.333838,100,1935.678581
80.877433,100,1944.301706
78.204614,100,1952.788325
80.231064,100,1961.310427
80.359599,100,1969.849567
79.974062,100,1978.376066
80.446542,100,1986.880278
81.230238,100,1998.938794
79.975506,100,2007.453202
79.821009,100,2015.978099
79.322993,100,2024.491563
79.624566,100,2032.986666
79.813623,100,2041.451316
80.763437,100,2049.970585
80.573733,100,2058.470939
81.715856,100,2067.027463
79.08203,100,2075.551664
80.041703,100,2087.515566
79.99879,100,2096.011128
80.736344,100,2104.527312
79.545455,100,2113.072124
79.356321,100,2121.588048
77.845406,100,2130.202509
80.133418,100,2138.721459
80.893173,100,2147.233298
78.029274,100,2155.777233
80.868585,100,2164.267677
79.968909,100,2176.204914
79.947605,100,2184.723663
79.44169,100,2193.352437
80.955165,100,2201.864085
81.693777,100,2210.375648
79.101571,100,2218.893812
79.259366,100,2227.411397
81.728085,100,2235.960864
